%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
56844000000,0,56844000000,imu_link,-0.000724788766212,-0.326504070985,0.00985822398379,0.945144106331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00765566991315,-0.199381455704,-0.000308233362342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62639756329,-0.0483694773941,8.87503927557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56848000000,1,56848000000,imu_link,-0.000734144183106,-0.326880351456,0.00985333714217,0.945014078525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00712074590786,-0.198999069825,-0.000277534265336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63223064933,-0.0487122877246,8.87680010622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56852000000,2,56852000000,imu_link,-0.000742801406505,-0.327255957471,0.00984871373768,0.944884114262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0067444421713,-0.198673535191,-0.000267236704526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63828574427,-0.0487603690247,8.87538125393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56856000000,3,56856000000,imu_link,-0.000751124543448,-0.3276314884,0.00984419946742,0.944754007855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00656843130142,-0.198663006388,-0.00026961514778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6440600814,-0.0486754669868,8.87815797706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56860000000,4,56860000000,imu_link,-0.000758924610562,-0.328006883752,0.00983973304021,0.944623781142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00631288552746,-0.198621262716,-0.000332059192436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65128288758,-0.0488362087699,8.87568759406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56864000000,5,56864000000,imu_link,-0.000765826007463,-0.32838191972,0.00983527434632,0.944493512783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00588541226369,-0.198462776211,-0.000475450413856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65758592682,-0.0489581544318,8.86946352608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56868000000,6,56868000000,imu_link,-0.000771467445131,-0.328756972609,0.00983089662459,0.944363071742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052772549855,-0.198505346659,-0.000643242785447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66587153579,-0.0492011202773,8.87033240816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56872000000,7,56872000000,imu_link,-0.000775593926885,-0.329132324231,0.00982670928508,0.94423235879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00453219927315,-0.198698619734,-0.000801152657018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67420840425,-0.0492979813781,8.86998044462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56876000000,8,56876000000,imu_link,-0.000778101326461,-0.329507788592,0.00982279760075,0.944101437592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037230754875,-0.198794178142,-0.000936478071221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68055557142,-0.0490350675477,8.86176164592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56880000000,9,56880000000,imu_link,-0.00077913912698,-0.329883260297,0.0098191895302,0.943970344362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029794315802,-0.198833323202,-0.00103443708893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68697065985,-0.0482168355957,8.8570227819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56884000000,10,56884000000,imu_link,-0.000778923917003,-0.330258511503,0.00981585590765,0.943839158877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00234171462875,-0.198750726031,-0.00111103646272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6921584154,-0.0478064005799,8.85018010778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
