%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
520904000000,0,520904000000,imu_link,-0.00393381871207,-0.325669614783,0.000724507911068,0.945475172686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000142732215225,-0.205668065734,0.00280122459365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61931847424,-0.0857005530806,8.82857485307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520908000000,1,520908000000,imu_link,-0.00393475805275,-0.326058468885,0.000731624445903,0.945341132752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310249622353,-0.205665991209,0.00280092682117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62568900481,-0.0857226299139,8.82053082756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520912000000,2,520912000000,imu_link,-0.00393474000755,-0.326447012684,0.000739100778731,0.945207024657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000821414797601,-0.20553149036,0.00281554627462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6318047489,-0.0856394799376,8.81358920282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520916000000,3,520916000000,imu_link,-0.00393411083813,-0.326835035211,0.000746790576993,0.945072920379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00114527699822,-0.205285157897,0.00281770507539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63863174937,-0.0856304242235,8.80700351279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520920000000,4,520920000000,imu_link,-0.00393345511601,-0.327222311125,0.00075450345463,0.944938896309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116203224792,-0.204919304078,0.00282571042411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64540484781,-0.0855320012267,8.80288852981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520924000000,5,520924000000,imu_link,-0.00393323065465,-0.327608788844,0.000762084166715,0.944804969503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000937143351536,-0.204525845316,0.00283535844719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65101996074,-0.0855410558261,8.79999916895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520928000000,6,520928000000,imu_link,-0.00393357829996,-0.327994324803,0.000769441002026,0.944671190319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063085588076,-0.204056116021,0.00282510791661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65477899439,-0.085543531493,8.79368750889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520932000000,7,520932000000,imu_link,-0.00393422327238,-0.328379185415,0.000776553542255,0.94453746852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000450726670543,-0.203727119059,0.00275978564127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65932583082,-0.0856276249206,8.79535979095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520936000000,8,520936000000,imu_link,-0.00393432554408,-0.328763201499,0.000783601013645,0.944403867205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000696908560379,-0.203308575897,0.00264156433931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66441949621,-0.0858254195213,8.79520558178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520940000000,9,520940000000,imu_link,-0.00393291981574,-0.329146062319,0.000790750152514,0.944270499653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00142661389991,-0.202725422289,0.00244386544638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66999268009,-0.0860426863971,8.79151345383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520944000000,10,520944000000,imu_link,-0.00392963834387,-0.32952727564,0.000798071989414,0.944137540633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00234209479807,-0.201881427028,0.00221978367445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67773981224,-0.0858739061623,8.78520775034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520948000000,11,520948000000,imu_link,-0.00392470907349,-0.329906560254,0.000805528574534,0.944005089649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00314393850426,-0.200888161477,0.00201548364017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68478698147,-0.0855118379982,8.78036186281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520952000000,12,520952000000,imu_link,-0.00391902279743,-0.33028448766,0.000812940407392,0.943872945687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00349501422637,-0.200197128252,0.00187202954281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69269785141,-0.085020152465,8.78562581151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520956000000,13,520956000000,imu_link,-0.00391336198475,-0.330661361536,0.000820205274486,0.943741000937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00345954545505,-0.199666732311,0.00180885954202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69930213298,-0.0846569630356,8.78719603863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520960000000,14,520960000000,imu_link,-0.00390770759132,-0.331038069425,0.00082744194813,0.943608945354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00345170636796,-0.199606674202,0.00179698741787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70504176181,-0.0845218133665,8.78925393228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
