%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
24328000000,0,24328000000,imu_link,0.000459961467563,-0.368212776205,-0.00054837240949,0.929741275389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00120357180631,-0.0144237904191,0.000188980562248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13768885002,0.000368786630944,7.40254111391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24332000000,1,24332000000,imu_link,0.000461154517431,-0.368240318348,-0.000547236203071,0.929730367264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000773857047526,-0.0148112007648,0.000311884204906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13889907738,0.000205520370642,7.39685816285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24336000000,2,24336000000,imu_link,0.000461996348039,-0.368268369873,-0.000546118935908,0.929719256585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000607286423376,-0.0150853892551,0.000367808580633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1424474686,4.18277197355e-05,7.3963953619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24340000000,3,24340000000,imu_link,0.000462869636412,-0.368296680357,-0.000544998805668,0.929708042326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000622531696384,-0.0152248322978,0.000363378595103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14445908129,-4.93340307504e-05,7.39238121469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24344000000,4,24344000000,imu_link,0.000463691426135,-0.36832522739,-0.000543938230454,0.929696733343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000587711764987,-0.0153522644587,0.000345206526169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14598740371,-3.2224594012e-05,7.38883967795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24348000000,5,24348000000,imu_link,0.000464435111706,-0.36835403036,-0.00054297204518,0.929685321923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000534115435613,-0.0154901440777,0.000315744859063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14801323021,-1.1122606114e-05,7.38684071688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24352000000,6,24352000000,imu_link,0.000465124930734,-0.368382949111,-0.000542076764785,0.929673863576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000496059250032,-0.0155526383984,0.000292720372241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14915990229,1.56803511483e-05,7.38183336005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24356000000,7,24356000000,imu_link,0.000466042956401,-0.368411685591,-0.000541162159675,0.929662476315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006056316371,-0.0154547518505,0.0002596463738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15152239508,1.86083701845e-05,7.37822599693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24360000000,8,24360000000,imu_link,0.000467485755814,-0.36844005068,-0.00054015219592,0.929651235006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000866993985463,-0.0152550686814,0.000207258610322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15347010273,4.42640587992e-05,7.37452215942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24364000000,9,24364000000,imu_link,0.000469514422049,-0.36846808893,-0.000539024646501,0.929640122009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116086326335,-0.0150793220025,0.000153945296408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15504295854,0.000139036281771,7.37171510512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24368000000,10,24368000000,imu_link,0.000472100778108,-0.368495929564,-0.000537787052248,0.929629086142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00144029131966,-0.0149730799974,0.000102325286202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15702586778,0.000298852077181,7.37060960948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24372000000,11,24372000000,imu_link,0.000475197542868,-0.368523829821,-0.00053648027823,0.929618025444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00169030483164,-0.0150052152593,4.04466805712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15952529271,0.000482918763939,7.37191675698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24376000000,12,24376000000,imu_link,0.000478919410877,-0.36855184846,-0.000535100856086,0.929606916551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00199428794411,-0.0150689354168,-4.09533385399e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16104787312,0.000631373945104,7.36948591508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
