%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
22644000000,0,22644000000,imu_link,-0.00015951131914,-0.301689575699,-0.000400671768266,0.953406111756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00552015272012,-0.200768274898,0.00133215905555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21980438323,-0.0128438140743,9.00171424512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22648000000,1,22648000000,imu_link,-0.000150462882318,-0.302075376154,-0.000394750970985,0.953283949647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00527408588171,-0.202338449268,0.00140230951501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22502209385,-0.0132109858536,9.00548796391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22652000000,2,22652000000,imu_link,-0.000142058491934,-0.302464105007,-0.000388909898302,0.953160686218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00495556001666,-0.203900709263,0.001461147036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22839933775,-0.0133179739977,9.00012997119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22656000000,3,22656000000,imu_link,-0.000134616444713,-0.302854941692,-0.000383261921703,0.953036578145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00446807371263,-0.205033171267,0.0015143444127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2347722744,-0.0132349170145,8.99264906022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22660000000,4,22660000000,imu_link,-0.000128397343078,-0.303246941907,-0.000377918617942,0.952911922958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00383936802894,-0.205670676751,0.00155416663531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24144929398,-0.0133061156877,8.98586784097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22664000000,5,22664000000,imu_link,-0.000123178779597,-0.303639119594,-0.000372792433926,0.952787033342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00332975365332,-0.205790954314,0.0016023680194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24831504605,-0.0134927099878,8.97954945597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22668000000,6,22668000000,imu_link,-0.00011817630361,-0.304031071708,-0.000367703328042,0.9526620378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00322113320722,-0.205699612649,0.00161750469607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25572869709,-0.0138351895777,8.97687775918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22672000000,7,22672000000,imu_link,-0.000112629964993,-0.304422161131,-0.000362532938387,0.952537140324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00349239545313,-0.205273683256,0.00157361610798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26340911977,-0.0140089705343,8.97283958701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22676000000,8,22676000000,imu_link,-0.000106103603771,-0.304812160302,-0.000357230344078,0.952412414903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397908453363,-0.204728071438,0.00148750330746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27048644084,-0.0140067681936,8.96703066514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22680000000,9,22680000000,imu_link,-9.82144640304e-05,-0.305200598656,-0.00035174238043,0.952288013792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00465603801162,-0.203935140143,0.00136822232517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27858357472,-0.0137268284378,8.96167660786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22684000000,10,22684000000,imu_link,-8.9027500192e-05,-0.305586841203,-0.000346108093131,0.952164142765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00529595811076,-0.202808507428,0.00124004615387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2859039872,-0.0132328447854,8.9554930139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22688000000,11,22688000000,imu_link,-7.91999838272e-05,-0.305971028997,-0.000340489846917,0.952040759216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00559812884845,-0.201755681069,0.0011347128845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29276997244,-0.012938913544,8.95534005436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22692000000,12,22692000000,imu_link,-6.95607706462e-05,-0.306353529081,-0.000335070724689,0.951917747554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00547775699876,-0.200895427032,0.00106886360735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29899533927,-0.0127133290022,8.95647698474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22696000000,13,22696000000,imu_link,-6.02880960444e-05,-0.306735133674,-0.000329856198611,0.951794854646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00527181441867,-0.200451074536,0.00102768048519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30387305577,-0.0128511860932,8.95717532481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22700000000,14,22700000000,imu_link,-5.12124430628e-05,-0.30711638664,-0.000324791880014,0.951671906144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051549557016,-0.200292290244,0.000986415285082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30783513996,-0.0131182630787,8.9551616374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22704000000,15,22704000000,imu_link,-4.20325495985e-05,-0.30749794175,-0.000319822832185,0.951548691222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00518996971231,-0.200476952667,0.000925024040724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31649175648,-0.0131666285387,8.96103554729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22708000000,16,22708000000,imu_link,-3.26361209561e-05,-0.30788034987,-0.000314916736446,0.951425031164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00528343983672,-0.200951196679,0.000861691876816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32445793808,-0.0131929353686,8.962712142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22712000000,17,22712000000,imu_link,-2.33075989009e-05,-0.30826350391,-0.000310133372816,0.95130095944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00523235315202,-0.201369420596,0.000813683231956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33106711085,-0.0130805767419,8.95772386881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22716000000,18,22716000000,imu_link,-1.45479078316e-05,-0.308647235139,-0.000305559663268,0.951176529705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00492955937725,-0.201699227697,0.000801573841307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33662759475,-0.0129281030255,8.95105566927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22720000000,19,22720000000,imu_link,-6.63672506964e-06,-0.309031091388,-0.00030121336846,0.95105188806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044909408418,-0.201791516137,0.000824329648027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34218983376,-0.01289976008,8.94433687868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22724000000,20,22724000000,imu_link,6.30831973629e-07,-0.309414722801,-0.000296967715521,0.950927148168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00416929516693,-0.20169987822,0.000875907961659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34851402461,-0.0130988833559,8.93734588961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22728000000,21,22728000000,imu_link,7.28277766821e-06,-0.30979824821,-0.000292811238558,0.950802271566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00386278249278,-0.201670718849,0.000928727311312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35662779971,-0.0130260114985,8.93621497844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22732000000,22,22732000000,imu_link,1.36948801515e-05,-0.310181563657,-0.000288654058651,0.950677292281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00374883926812,-0.201586843119,0.000966197200899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36433920107,-0.0129045991833,8.93566394842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22736000000,23,22736000000,imu_link,2.05378820148e-05,-0.31056492065,-0.000284378154467,0.950552128381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397208271559,-0.201635160861,0.000955776554669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37048140207,-0.0131125592039,8.93485593186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22740000000,24,22740000000,imu_link,2.85485921308e-05,-0.310948347993,-0.000279882047626,0.950426770315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00456127215333,-0.201698578228,0.000879082104439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37545369375,-0.0132089014572,8.9323086104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22744000000,25,22744000000,imu_link,3.79359011847e-05,-0.311331913139,-0.000275146388017,0.950301195788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525271709448,-0.201797522758,0.000778866870701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37940670051,-0.0130973279088,8.92966711715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22748000000,26,22748000000,imu_link,4.79900905314e-05,-0.311716171874,-0.00027039434137,0.950175222144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00557223958557,-0.202189118545,0.000682800863139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38472786442,-0.0127299971056,8.93342674468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22752000000,27,22752000000,imu_link,5.80337818858e-05,-0.312100983318,-0.000265763965557,0.950048894644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00554837195134,-0.202506859671,0.00062659817221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39318589649,-0.0124840838063,8.93032622055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22756000000,28,22756000000,imu_link,6.76635877721e-05,-0.31248625869,-0.000261334341312,0.949922241689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053205099284,-0.202778085285,0.000595793512169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40127179369,-0.0124741208194,8.92538020226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22760000000,29,22760000000,imu_link,7.6761726467e-05,-0.312871793767,-0.000257095475235,0.949795329887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00503822669986,-0.20294195374,0.000588235108015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40939351285,-0.012618447327,8.92179719908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22764000000,30,22764000000,imu_link,8.55057115002e-05,-0.313257371242,-0.000252991216411,0.949668230514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00484899518028,-0.202991482203,0.000579690298014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41647090886,-0.0127160430971,8.91688161555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22768000000,31,22768000000,imu_link,9.41538903182e-05,-0.313643221607,-0.000248984809886,0.949540867305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047882224387,-0.203162400197,0.000548210980037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42291064143,-0.012796686274,8.91450763338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
