%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
26388000000,0,26388000000,imu_link,0.000479128551302,-0.378005401833,0.000432771081781,0.925803164463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00202021797336,-0.00501485399378,0.000566079410596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70390475937,0.00208206997082,6.97807546946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26392000000,1,26392000000,imu_link,0.000481737353235,-0.378014335914,0.000435317163347,0.925799514081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00168777613051,-0.00482548684807,0.000688444750867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70289293212,0.00180761364622,6.97434119855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26396000000,2,26396000000,imu_link,0.000483663346681,-0.378022711753,0.000437788897306,0.925796091917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135771855243,-0.00452381130191,0.000782900822557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70317974449,0.00158560349203,6.97187025526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26400000000,3,26400000000,imu_link,0.000484697426481,-0.378030249023,0.000440128995577,0.9257930126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000920073475604,-0.00407067416926,0.000890270888437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70339515862,0.00145362710816,6.96862851796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26404000000,4,26404000000,imu_link,0.000484597266489,-0.378036827767,0.000442310072509,0.925790325278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000365096338892,-0.00355267138172,0.00103073037942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70373591293,0.00131366727411,6.96705787737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26408000000,5,26408000000,imu_link,0.000483400635995,-0.378042480788,0.00044437442923,0.925788016543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016440382497,-0.00305238456337,0.00118364624568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70398335179,0.00114399900469,6.9667013231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26412000000,6,26412000000,imu_link,0.000481236677182,-0.378047590907,0.000446397586845,0.925785929981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000619894887204,-0.00275887825246,0.00134724044167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70518249264,0.000984923525382,6.97106161097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26416000000,7,26416000000,imu_link,0.000478448252176,-0.378052612738,0.000448399728513,0.925783879762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000912917447827,-0.0027110061339,0.00145552192216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70628899173,0.000798929452609,6.97602154707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26420000000,8,26420000000,imu_link,0.000475376940854,-0.3780579872,0.000450364107773,0.92578168566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010510459712,-0.00290137958111,0.00149163157942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70824078942,0.000670076213957,6.98242638846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26424000000,9,26424000000,imu_link,0.000472043893231,-0.378063967595,0.000452252810089,0.925779244231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00118658410381,-0.00322857156425,0.00150627688166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70815121015,0.000642676930714,6.98323260597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26428000000,10,26428000000,imu_link,0.000468246238461,-0.378070602749,0.000454019240127,0.925776535644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00142484430444,-0.00358207769288,0.00153771887279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7087288034,0.000667643549089,6.98318242609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26432000000,11,26432000000,imu_link,0.000463868042012,-0.37807775434,0.000455640079821,0.925773616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00172115987688,-0.00386084736419,0.00158023840413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70839786793,0.00065469154737,6.97978826839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26436000000,12,26436000000,imu_link,0.000459101345067,-0.378085162186,0.000457138990022,0.925770592741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00192407519145,-0.00399915668737,0.00159732378741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70870670529,0.000536925064285,6.9766837519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26440000000,13,26440000000,imu_link,0.000454233099839,-0.378092508923,0.000458553419018,0.925767593998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00198704270331,-0.00396614937483,0.00157739589818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70878818962,0.00040654284857,6.97251836115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26444000000,14,26444000000,imu_link,0.000449471289988,-0.378099518196,0.000459878672956,0.925764732979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00195458760923,-0.00378395110881,0.00151588877864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70959640847,0.000351213635961,6.9705248009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26448000000,15,26448000000,imu_link,0.000444917805715,-0.378106240359,0.000461025223313,0.925761989123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00189190155545,-0.0036289914294,0.0013936946773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71114872377,0.000349652874833,6.9728702626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
